t,x,y,theta,pwm_l,pwm_r,v_true,v_exp,apf_vx,apf_vy
11.200000000000024,211.5211240569113,-172.98943026036483,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
11.250000000000025,211.57495742498114,-173.07898543097076,-58.989098980812116,33,33,2.0897999999999968,154.0,88.0,-127.0
11.300000000000026,211.56682497484255,-173.0654565921535,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
11.350000000000026,211.55869252470396,-173.05192775333626,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
11.400000000000027,211.55056007456537,-173.038398914519,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
11.450000000000028,211.54242762442678,-173.02487007570176,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
11.500000000000028,211.5342951742882,-173.0113412368845,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
11.55000000000003,211.5261627241496,-172.99781239806725,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
11.60000000000003,211.57999609221943,-173.0873675686732,-58.989098980812116,33,33,2.0897999999999968,154.0,88.0,-127.0
11.65000000000003,211.57186364208084,-173.07383872985594,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
11.700000000000031,211.56373119194225,-173.06030989103868,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
11.750000000000032,211.55559874180366,-173.04678105222143,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
11.800000000000033,211.54746629166507,-173.03325221340418,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
11.850000000000033,211.53933384152649,-173.01972337458693,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
11.900000000000034,211.5312013913879,-173.00619453576968,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
11.950000000000035,211.5230689412493,-172.99266569695243,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
12.000000000000036,211.57690230931914,-173.08222086755836,-58.989098980812116,33,33,2.0897999999999968,154.0,88.0,-127.0
12.050000000000036,211.56876985918055,-173.0686920287411,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
12.100000000000037,211.56063740904196,-173.05516318992386,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
12.150000000000038,211.55250495890337,-173.0416343511066,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
12.200000000000038,211.54437250876478,-173.02810551228936,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
12.250000000000039,211.5362400586262,-173.0145766734721,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
12.30000000000004,211.5281076084876,-173.00104783465486,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
12.35000000000004,211.519975158349,-172.9875189958376,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
12.400000000000041,211.57380852641884,-173.07707416644354,-58.989098980812116,33,33,2.0897999999999968,154.0,88.0,-127.0
12.450000000000042,211.56567607628025,-173.0635453276263,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
12.500000000000043,211.55754362614167,-173.05001648880904,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
12.550000000000043,211.54941117600308,-173.03648764999178,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
12.600000000000044,211.5412787258645,-173.02295881117453,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
12.650000000000045,211.5331462757259,-173.00942997235728,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
12.700000000000045,211.5250138255873,-172.99590113354003,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
12.750000000000046,211.57884719365714,-173.08545630414596,-58.989098980812116,33,33,2.0897999999999968,154.0,88.0,-127.0
12.800000000000047,211.57071474351855,-173.0719274653287,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
12.850000000000048,211.56258229337996,-173.05839862651146,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
12.900000000000048,211.55444984324137,-173.0448697876942,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
12.950000000000049,211.54631739310278,-173.03134094887696,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
